country,2003,2006,2009,2012,2015
Belgium,16.5,17.5,19.1,19,20.1
Bulgaria,:,53.4,47.1,43.8,42.1
Czechia,16.6,19.3,22.4,21,21.7
Denmark,15.4,13.7,17.1,16.8,13.6
Germany,21.6,20,18.7,17.7,17.2
Estonia,:,12.1,12.7,10.5,11.2
Ireland,16.8,16.5,20.9,16.9,15
Greece,38.9,32.5,30.4,35.7,35.8
Spain,23,24.8,23.8,23.6,22.2
France,16.6,22.4,22.5,22.4,23.5
Croatia,:,28.7,33.2,29.9,32
Italy,31.9,33,25,24.7,23.3
Cyprus,:,:,:,42,42.6
Latvia,23.7,20.8,22.6,19.9,21.4
Lithuania,:,23.1,26.4,26,25.4
Luxembourg,21.7,22.9,23.9,24.3,25.8
Hungary,23,21.2,22.3,28.1,28
Malta,:,:,33.7,:,29.1
Netherlands,10.9,11.6,13.4,14.8,16.7
Austria,18.8,20.1,23.3,18.7,21.8
Poland,22,20,20.5,14.4,17.2
Portugal,30.1,30.9,23.8,24.9,23.8
Romania,:,52.9,47,40.8,39.9
Slovenia,:,17.8,20.4,20.1,16.1
Slovakia,19.9,21,21,27.5,27.7
Finland,6.8,6,7.9,12.3,13.6
Sweden,17.3,18.4,21.1,27.1,20.8
United Kingdom,:,19.9,20.2,21.8,21.9
